Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,uber sales,$593.45,$593.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$593.45,-,-
,doordash sales,$591.35,$591.35,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$591.35,-,-
,doordash,$589.90,$589.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$589.90,-,-
,doordash,$589.15,$589.15,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$589.15,-,-
,doordash,$582.10,$582.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$582.10,-,-
,uber,$578.20,$578.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$578.20,-,-
,uber sales,$576.70,$576.70,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$576.70,-,-
,doordash,$576.55,$576.55,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$576.55,-,-
,Nachos x125,$562.50,$562.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$562.50,-,-
,doordash,$561.85,$561.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.20%,$561.85,-,-
,doordash,$556.75,$556.75,1,0," "," ",-,$0.00,$0.00,$0.00,0.19%,$556.75,-,-
,uber sales,$556.75,$556.75,1,0," "," ",-,$0.00,$0.00,$0.00,0.19%,$556.75,-,-
,doordash sales,$547.55,$547.55,1,0," "," ",-,$0.00,$0.00,$0.00,0.19%,$547.55,-,-
,doordash,$535.95,$535.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.19%,$535.95,-,-
,uber sales,$529.30,$529.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.18%,$529.30,-,-
,uber,$526.95,$526.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.18%,$526.95,-,-
,doordash sales,$521.00,$521.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.18%,$521.00,-,-
,uber,$510.60,$510.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.18%,$510.60,-,-
,doordash sales,$503.80,$503.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.18%,$503.80,-,-
,Tacos x125,$500.00,$500.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$500.00,-,-
,doordash,$488.80,$488.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$488.80,-,-
,uber,$487.08,$487.08,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$487.08,-,-
,doordash sales,$484.65,$484.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$484.65,-,-
,doordash,$482.65,$482.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$482.65,-,-
,doordash sales,$477.40,$477.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$477.40,-,-
,doordash,$477.20,$477.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.17%,$477.20,-,-
,doordash,$474.70,$474.70,1,0," "," ",-,$0.00,$0.00,$0.00,0.16%,$474.70,-,-
,doordash sales,$466.95,$466.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.16%,$466.95,-,-
,uber sales,$463.95,$463.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.16%,$463.95,-,-
,doordash,$453.15,$453.15,1,0," "," ",-,$0.00,$0.00,$0.00,0.16%,$453.15,-,-
,KALBI LARGE,$450.00,$450.00,2,0," "," ",-,$0.00,$0.00,$0.00,0.16%,$225.00,-,-
,doordash sales,$438.40,$438.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$438.40,-,-
,doordash,$437.65,$437.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$437.65,-,-
,doordash,$433.15,$433.15,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$433.15,-,-
,doordash sales,$431.50,$431.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$431.50,-,-
,doordash,$429.80,$429.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$429.80,-,-
,doordash,$426.95,$426.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$426.95,-,-
,door dash,$426.65,$426.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$426.65,-,-
,doordash sales,$424.65,$424.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$424.65,-,-
