Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$260.64,$258.95,18,0," "," ",-,-$1.69,$0.00,0.39%,$14.39,-,-
,Custom 2 Large Pepperoni Pies and a 2L Soda - Single Size,$258.93,$258.93,7,0," "," ",-,$0.00,$0.00,0.39%,$36.99,-,-
,"Hawaiian - Large 16"" - Regular Crust",$259.74,$257.87,13,0," "," ",-,-$1.87,$0.00,0.39%,$19.84,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$254.70,$250.05,15,0," "," ",-,-$4.65,$0.00,0.38%,$16.67,-,-
,"Custom Cheese Pizza - Extra Large 18"" - Regular Crust",$245.76,$245.76,12,0," "," ",-,$0.00,$0.00,0.37%,$20.48,-,-
,Chicken Parmigiana,$282.24,$245.61,18,0," "," ",-,-$36.63,$0.00,0.37%,$13.64,-,-
,," "," "," "," ",Alfredo Sauce,2,$7.98," "," "," "," "," "," "
,," "," "," "," ",Chicken,1,$2.50," "," "," "," "," "," "
,," "," "," "," ",Meat Sauce,2,$5.00," "," "," "," "," "," "
,," "," "," "," ",Fettucini,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,2,$0.00," "," "," "," "," "," "
,Custom 2 Liters - Single Size,$239.40,$231.41,60,0," "," ",-,-$7.99,$0.00,0.35%,$3.86,-,-
,Meat Lovers,$266.77,$228.49,12,0," "," ",-,-$38.28,$0.00,0.34%,$19.04,-,-
,," "," "," "," ",Pizza Sauce,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Parmesan,1,$1.00," "," "," "," "," "," "
,," "," "," "," ","Extra Large 18""",2,$15.46," "," "," "," "," "," "
,," "," "," "," ","Large 16""",7,$39.69," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",2,$7.22," "," "," "," "," "," "
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Calamari - Single Size,$219.80,$218.70,20,0," "," ",-,-$1.10,$0.00,0.33%,$10.94,-,-
,"Meat Lovers - Large 16"" - Regular Crust",$215.91,$215.91,9,0," "," ",-,$0.00,$0.00,0.33%,$23.99,-,-
,Garlic Knots,$249.96,$214.87,33,0," "," ",-,-$35.09,$0.00,0.32%,$6.51,-,-
,," "," "," "," ",Extra Cheese,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Parmesan Cheese,3,$2.97," "," "," "," "," "," "
,," "," "," "," ",Plain,21,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Cheese,12,$12.36," "," "," "," "," "," "
,," "," "," "," ",Mozzarella Cheese,2,$1.98," "," "," "," "," "," "
,," "," "," "," ",Provolone,1,$0.99," "," "," "," "," "," "
,Custom BYO Slice - Single Size,$204.18,$203.18,41,0," "," ",-,-$1.00,$0.00,0.31%,$4.96,-,-
,"Meat Lovers - Medium 14"" - Regular Crust",$197.91,$197.91,9,0," "," ",-,$0.00,$0.00,0.30%,$21.99,-,-
