Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$21.45,$21.45,1,0," "," ",-,$0.00,$0.00,0.03%,$21.45,-,-
,Tiramissu,$21.36,$21.36,4,0," "," ",-,$0.00,$0.00,0.03%,$5.34,-,-
,"Custom Cheese Pizza - Personal 10"" - Regular Crust",$21.32,$21.32,2,0," "," ",-,$0.00,$0.00,0.03%,$10.66,-,-
,"Custom Hawaiian - Large 16"" - Regular Crust",$21.28,$21.28,1,0," "," ",-,$0.00,$0.00,0.03%,$21.28,-,-
,"Custom Margherita - Large 16"" - Regular Crust",$21.28,$21.28,1,0," "," ",-,$0.00,$0.00,0.03%,$21.28,-,-
,"Sicilian Deep Dish (custom 1) - Large 16"" - Deep Dish ",$21.28,$21.28,1,0," "," ",-,$0.00,$0.00,0.03%,$21.28,-,-
,"8 Slices 16"" Pizza",$21.18,$21.18,1,0," "," ",-,$0.00,$0.00,0.03%,$21.18,-,-
,," "," "," "," ",Pepperoni,1,$3.19," "," "," "," "," "," "
,Lobster Ravioli,$21.10,$21.10,1,0," "," ",-,$0.00,$0.00,0.03%,$21.10,-,-
,"Cheese Pizza (custom 1) - Large 16"" -  Garlic Butter on Crust",$20.97,$20.97,1,0," "," ",-,$0.00,$0.00,0.03%,$20.97,-,-
,"Cheese Pizza (custom 1) - Medium 14"" - Regular Crust ",$20.96,$20.96,1,0," "," ",-,$0.00,$0.00,0.03%,$20.96,-,-
,"Custom Cheese Pizza - Large 16"" - Crispy and Well Done",$20.87,$20.87,1,0," "," ",-,$0.00,$0.00,0.03%,$20.87,-,-
,Side of Marinara Sauce,$20.86,$20.86,14,0," "," ",-,$0.00,$0.00,0.03%,$1.49,-,-
,Eggplant Rollatini,$20.78,$20.78,1,0," "," ",-,$0.00,$0.00,0.03%,$20.78,-,-
,," "," "," "," ",Caesar Salad,1,$2.79," "," "," "," "," "," "
,"(H&H)Veggie Lovers-Pepperoni Pizza - Extra Large 18"" - Regular Crust",$23.49,$20.76,1,0," "," ",-,-$2.73,$0.00,0.03%,$20.76,-,-
,"Custom Bianca White Pie - Large 16"" - Regular Crust",$20.58,$20.58,1,0," "," ",-,$0.00,$0.00,0.03%,$20.58,-,-
,"Custom Cheese Pizza - Large 16"" - Regular Crust",$20.57,$20.57,1,0," "," ",-,$0.00,$0.00,0.03%,$20.57,-,-
,Meat Lovers,$20.56,$20.56,1,0," "," ",-,$0.00,$0.00,0.03%,$20.56,-,-
,," "," "," "," ","Medium 14""",1,$3.61," "," "," "," "," "," "
,"(H&H)Cheese Pizza-Pepperoni Pizza - Extra Large 18"" - Regular Crust",$20.48,$20.48,1,0," "," ",-,$0.00,$0.00,0.03%,$20.48,-,-
,"(H&H)Pepperoni Pizza-Cheese Pizza - Extra Large 18"" - Crispy and Well Done",$20.48,$20.48,1,0," "," ",-,$0.00,$0.00,0.03%,$20.48,-,-
,"Custom Cheese Pizza - Extra Large 18"" - Crispy and Well Done",$20.48,$20.48,1,0," "," ",-,$0.00,$0.00,0.03%,$20.48,-,-
,"MYOP 1 - Extra Large 18"" - Regular Crust",$20.48,$20.48,1,0," "," ",-,$0.00,$0.00,0.03%,$20.48,-,-
,"Custom Cheese Pizza - Large 16"" - Thin Crust",$20.27,$20.27,1,0," "," ",-,$0.00,$0.00,0.03%,$20.27,-,-
,"MYOP 1 - Large 16"" - Regular Crust",$20.27,$20.27,1,0," "," ",-,$0.00,$0.00,0.03%,$20.27,-,-
,Chicken Tenders 1/2 lbs,$23.97,$20.03,2,0," "," ",-,-$3.94,$0.00,0.03%,$10.01,-,-
,," "," "," "," ",Mozzarella Cheese,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Garlic Parmesan,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mild,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",10 Pieces,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",BBQ,1,$1.00," "," "," "," "," "," "
,"(H&H)Cheese Pizza-BBQ Pizza - Large 16"" - Regular Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"(H&H)Margherita-Meat Lovers - Medium 14"" - Regular Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"BBQ Pizza - Medium 14"" - Regular Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Bianca White Pie - Extra Large 18"" - Regular Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,Bruschetta (custom 1) - Single Size,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.03%,$9.99,-,-
,"Cheese Pizza - Personal 10"" -  Regular Crust",$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.03%,$9.99,-,-
,"Cheesesteak Pizza (custom 1) - Medium 14"" - Regular Crust ",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,Custom Lunch Lasagna - Single Size,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.03%,$9.99,-,-
,Custom Meatball Parmigiana Sub - Single Size,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.03%,$9.99,-,-
,Custom Subs with small Fries and 1 Can of Soda - Single Size,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.03%,$9.99,-,-
,"Extravaganza Supreme (custom 1) - Medium 14"" -  Garlic Butter on Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Extravaganza Supreme (custom 1) - Medium 14"" - Regular Crust ",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Extravaganza Supreme (custom) - Medium 14"" -  Garlic Butter on Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Margherita (custom) - Large 16"" - Regular Crust  ",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Mediterranean Pizza (custom) - Medium 14"" -  Garlic Butter on Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Veggie Lovers (custom) - Medium 14"" - Regular Crust ",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"Veggie Lovers - Medium 14"" - Regular Crust",$19.98,$19.98,1,0," "," ",-,$0.00,$0.00,0.03%,$19.98,-,-
,"MYOP 1 - Medium 14"" -  Crispy and Well Done",$19.97,$19.97,1,0," "," ",-,$0.00,$0.00,0.03%,$19.97,-,-
,"Cheese Pizza (custom 1) - Medium 14"" - Regular Crust ",$19.96,$19.96,1,0," "," ",-,$0.00,$0.00,0.03%,$19.96,-,-
,"Custom Pepperoni Pizza - Medium 14"" - Regular Crust",$19.96,$19.96,1,0," "," ",-,$0.00,$0.00,0.03%,$19.96,-,-
,Meatballs  (custom 1) - Single Size,$19.96,$19.96,4,0," "," ",-,$0.00,$0.00,0.03%,$4.99,-,-
,Cheesesteak Pizza,$19.94,$19.94,1,0," "," ",-,$0.00,$0.00,0.03%,$19.94,-,-
,," "," "," "," ","Medium 14""",1,$2.99," "," "," "," "," "," "
,"Custom Bianca White Pie - Personal 10"" - Regular Crust",$19.84,$19.84,1,0," "," ",-,$0.00,$0.00,0.03%,$19.84,-,-
,"(H&H)Pepperoni Pizza-Hawaiian - Large 16"" - Regular Crust",$19.78,$19.78,1,0," "," ",-,$0.00,$0.00,0.03%,$19.78,-,-
,Calzone Anthonys (custom 1) - Large,$19.73,$19.73,1,0," "," ",-,$0.00,$0.00,0.03%,$19.73,-,-
,"Veggie Lovers (custom 1) - Personal 10"" -  Garlic Butter on Crust",$19.69,$19.69,1,0," "," ",-,$0.00,$0.00,0.03%,$19.69,-,-
,"Custom Pepperoni Pizza - Large 16"" - Crispy and Well Done",$19.57,$19.57,1,0," "," ",-,$0.00,$0.00,0.03%,$19.57,-,-
,"Custom Pepperoni Pizza - Large 16"" - Garlic Butter on Crust",$19.57,$19.57,1,0," "," ",-,$0.00,$0.00,0.03%,$19.57,-,-
,"MYOP 2 - Large 16"" -  Garlic Butter on Crust",$19.57,$19.57,1,0," "," ",-,$0.00,$0.00,0.03%,$19.57,-,-
,"Pepperoni Pizza (custom 1) - Large 16"" -  Garlic Butter on Crust",$19.57,$19.57,1,0," "," ",-,$0.00,$0.00,0.03%,$19.57,-,-
,"Pepperoni Pizza (custom 1) - Large 16"" -  Thin Crust",$19.57,$19.57,1,0," "," ",-,$0.00,$0.00,0.03%,$19.57,-,-
,Buffalo Chicken Pizza,$19.53,$19.53,1,0," "," ",-,$0.00,$0.00,0.03%,$19.53,-,-
,," "," "," "," ","Medium 14""",1,$3.09," "," "," "," "," "," "
,"Custom Veggie Lovers - Small 12"" - Regular Crust",$19.47,$19.47,1,0," "," ",-,$0.00,$0.00,0.03%,$19.47,-,-
,Custom 2 slice 1 topping each 1 can of soda  - Single Size,$19.46,$19.46,2,0," "," ",-,$0.00,$0.00,0.03%,$9.73,-,-
,Grilled Chicken,$20.00,$19.38,1,0," "," ",-,-$0.62,$0.00,0.03%,$19.38,-,-
,," "," "," "," ",Half Tray,1,$0.00," "," "," "," "," "," "
,Baked Ziti,$21.60,$19.32,2,0," "," ",-,-$2.28,$0.00,0.03%,$9.66,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$19.21,$19.21,1,0," "," ",-,$0.00,$0.00,0.03%,$19.21,-,-
,Custom Anthony's Classic Hero Sub - Single Size,$19.98,$19.05,2,0," "," ",-,-$0.93,$0.00,0.03%,$9.52,-,-
,Anthony’s Tour of Italy,$18.99,$18.99,1,0," "," ",-,$0.00,$0.00,0.03%,$18.99,-,-
,16 Large 2 Toppings,$18.98,$18.98,1,0," "," ",-,$0.00,$0.00,0.03%,$18.98,-,-
,," "," "," "," ",Garlic Butter on Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Bacon,1,$0.00," "," "," "," "," "," "
,"Cheese Pizza (custom 1) - Extra Large 18"" - Regular Crust ",$18.98,$18.98,1,0," "," ",-,$0.00,$0.00,0.03%,$18.98,-,-
,Custom Calzone Cheese - Large,$18.98,$18.98,1,0," "," ",-,$0.00,$0.00,0.03%,$18.98,-,-
,"Custom Pepperoni Pizza - Medium 14"" - Regular Crust",$18.97,$18.97,1,0," "," ",-,$0.00,$0.00,0.03%,$18.97,-,-
,"MYOP 1 - Medium 14"" -  Garlic Butter on Crust",$18.97,$18.97,1,0," "," ",-,$0.00,$0.00,0.03%,$18.97,-,-
,"MYOP 1 - Small 12"" -  Gluten Free",$18.97,$18.97,1,0," "," ",-,$0.00,$0.00,0.03%,$18.97,-,-
,French Fries,$18.96,$18.96,3,0," "," ",-,$0.00,$0.00,0.03%,$6.32,-,-
,," "," "," "," ",Extra Cheese,1,$0.99," "," "," "," "," "," "
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$18.95,$18.95,1,0," "," ",-,$0.00,$0.00,0.03%,$18.95,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$18.72,$18.72,1,0," "," ",-,$0.00,$0.00,0.03%,$18.72,-,-
,BBQ Pizza,$22.59,$18.68,1,0," "," ",-,-$3.91,$0.00,0.03%,$18.68,-,-
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Buffalo Garlic,1,$1.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",1,$5.15," "," "," "," "," "," "
,Calzone Anthonys (custom 1) - Large,$18.48,$18.48,1,0," "," ",-,$0.00,$0.00,0.03%,$18.48,-,-
,"Custom Pepperoni Pizza - Medium 14"" - Regular Crust",$18.47,$18.47,1,0," "," ",-,$0.00,$0.00,0.03%,$18.47,-,-
,Hawaiian,$18.47,$18.47,1,0," "," ",-,$0.00,$0.00,0.03%,$18.47,-,-
,," "," "," "," ","Large 16""",1,$3.71," "," "," "," "," "," "
,Veggie Lovers,$24.16,$18.42,1,0," "," ",-,-$5.74,$0.00,0.03%,$18.42,-,-
,," "," "," "," ","Extra Large 18""",1,$7.21," "," "," "," "," "," "
,"Meat Lovers (custom 1) - Personal 10"" -  Thin Crust",$18.34,$18.34,1,0," "," ",-,$0.00,$0.00,0.03%,$18.34,-,-
,"(H&H) Pepperoni Pizza-Cheese Pizza - Large 16"" -  Garlic Butter on Crust",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"Cheese Pizza (custom 1) - Large 16"" - Regular Crust ",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"Cheese Pizza (custom 1) - Large 16"" - Regular Crust  ",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"Custom Cheese Pizza - Large 16"" - Garlic Butter on Crust",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"Custom Cheese Pizza - Large 16"" - Thin Crust",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"MYOP 1 - Large 16"" -  Regular Crust",$18.28,$18.28,1,0," "," ",-,$0.00,$0.00,0.03%,$18.28,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$18.22,$18.22,1,0," "," ",-,$0.00,$0.00,0.03%,$18.22,-,-
,Stuffed Shells,$18.18,$18.18,1,0," "," ",-,$0.00,$0.00,0.03%,$18.18,-,-
,," "," "," "," ",Caesar Salad,1,$3.19," "," "," "," "," "," "
,Small Calzone Anthony's,$18.08,$18.08,1,0," "," ",-,$0.00,$0.00,0.03%,$18.08,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,Small Calzone Anthony's,$18.08,$18.08,1,0," "," ",-,$0.00,$0.00,0.03%,$18.08,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,Small Calzone Meat Lover's,$18.08,$18.08,1,0," "," ",-,$0.00,$0.00,0.03%,$18.08,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,Jamaican Beef Pattys (custom 1) - Plain,$22.50,$18.00,5,1," "," ",-,$0.00,-$4.50,0.03%,$4.50,-,-
,Spaghetti Carbonara,$17.99,$17.99,1,0," "," ",-,$0.00,$0.00,0.03%,$17.99,-,-
,"Buffalo Chicken Pizza - Small 12"" -  Regular Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Cheesesteak Pizza - Small 12"" - Regular Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Custom Cheese Pizza - Large 16"" - Regular Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Custom Cheese Pizza - Small 12"" - Gluten Free",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Extravaganza Supreme (custom) - Small 12"" -  Thin Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Extravaganza Supreme - Small 12"" - Regular Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"MYOP 1 - Small 12"" -  Gluten Free",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Margherita (custom) - Medium 14"" -  Garlic Butter on Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Meat Lovers - Small 12"" - Regular Crust",$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,Philly Cheesesteak Stromboli (custom 1) - Large,$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,Tour of Italy - Single Size,$17.98,$17.98,1,0," "," ",-,$0.00,$0.00,0.03%,$17.98,-,-
,"Custom Cheese Pizza - Medium 14"" - Crispy and Well Done",$17.97,$17.97,1,0," "," ",-,$0.00,$0.00,0.03%,$17.97,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$19.46,$17.97,1,0," "," ",-,-$1.49,$0.00,0.03%,$17.97,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$17.97,$17.97,1,0," "," ",-,$0.00,$0.00,0.03%,$17.97,-,-
,Garlic Bread (custom 1) - With Cheese,$23.96,$17.97,4,1," "," ",-,$0.00,-$5.99,0.03%,$5.99,-,-
,"MYOP 1 - Medium 14"" - Garlic Butter on Crust",$17.97,$17.97,1,0," "," ",-,$0.00,$0.00,0.03%,$17.97,-,-
,Custom 2 slice 1 topping each 1 can of soda  - Single Size,$17.96,$17.96,2,0," "," ",-,$0.00,$0.00,0.03%,$8.98,-,-
,Eggplant Rollantini,$17.94,$17.94,1,0," "," ",-,$0.00,$0.00,0.03%,$17.94,-,-
,," "," "," "," ",Add Spinach,1,$1.99," "," "," "," "," "," "
,Extravaganza (Supreme),$17.85,$17.85,1,0," "," ",-,$0.00,$0.00,0.03%,$17.85,-,-
,," "," "," "," ",Ranch,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Veggie Lover Calzone Large,$17.78,$17.78,1,0," "," ",-,$0.00,$0.00,0.03%,$17.78,-,-
,," "," "," "," ",Ham,1,$1.79," "," "," "," "," "," "
,Custom Calzone Veggie Lovers - Large,$17.74,$17.74,1,0," "," ",-,$0.00,$0.00,0.03%,$17.74,-,-
,"Custom Veggie Lovers - Personal 10"" - Regular Crust",$17.66,$17.66,1,0," "," ",-,$0.00,$0.00,0.03%,$17.66,-,-
,Can Soda (custom 1) - Single Size,$17.50,$17.50,10,0," "," ",-,$0.00,$0.00,0.03%,$1.75,-,-
,"(H&H)Cheese Pizza-Extravaganza Supreme - Medium 14"" - Regular Crust",$17.48,$17.48,1,0," "," ",-,$0.00,$0.00,0.03%,$17.48,-,-
,Child Spageti w/ Meat Sauce,$17.48,$17.48,2,0," "," ",-,$0.00,$0.00,0.03%,$8.74,-,-
,Lobster Ravioli,$21.10,$17.48,1,0," "," ",-,-$3.62,$0.00,0.03%,$17.48,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$17.47,$17.47,1,0," "," ",-,$0.00,$0.00,0.03%,$17.47,-,-
,Fettuccini Alfredo,$17.47,$17.47,1,0," "," ",-,$0.00,$0.00,0.03%,$17.47,-,-
,," "," "," "," ",Chicken,1,$2.39," "," "," "," "," "," "
,," "," "," "," ",No Thanks,1,$0.09," "," "," "," "," "," "
,"Cheese Pizza (custom 1) - Small 12"" -  Thin Crust",$17.46,$17.46,1,0," "," ",-,$0.00,$0.00,0.03%,$17.46,-,-
,"Custom Cheese Pizza - Small 12"" - Crispy and Well Done",$17.45,$17.45,1,0," "," ",-,$0.00,$0.00,0.03%,$17.45,-,-
,Chicken Parmigiana,$17.08,$17.08,1,0," "," ",-,$0.00,$0.00,0.03%,$17.08,-,-
,," "," "," "," ",Spaghetti,1,$0.09," "," "," "," "," "," "
,Small Stromboli Philly Steesesteak,$17.08,$17.08,1,0," "," ",-,$0.00,$0.00,0.03%,$17.08,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,Custom Garden Salad  - Large,$17.00,$17.00,2,0," "," ",-,$0.00,$0.00,0.03%,$8.50,-,-
,Custom Lunch Sub - Single Size,$17.00,$17.00,2,0," "," ",-,$0.00,$0.00,0.03%,$8.50,-,-
,Garden Salad  (custom 1) - Large,$17.00,$17.00,2,0," "," ",-,$0.00,$0.00,0.03%,$8.50,-,-
,Anthony’s Stromboli Large,$16.99,$16.99,1,0," "," ",-,$0.00,$0.00,0.03%,$16.99,-,-
,"8) 14"" Pizza & 2 Sodas",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"8) 14"" Pizza & 2 Sodas",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,," "," "," "," ",Garlic Butter on Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Can Soda,2,$0.00," "," "," "," "," "," "
,Calzone Meat Lovers (custom 2) - Large,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Cheese Pizza (custom 1) - Large 16"" -  Garlic Butter on Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Cheese Pizza (custom) - Large 16"" -  Crispy and Well Done",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Chicken Butternut Squash Ravioli,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Chicken Picatta (custom 1) - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Custom Bianca White Pie - Medium 14"" - Regular Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Custom Cheese Pizza - Large 16"" - Thin Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Custom Cheese Pizza - Medium 14"" - Garlic Butter on Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Custom Eggplant Rollantini - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Custom Fettuccini Alfredo - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Custom Penne Al A Vodka - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Custom Pepperoni Pizza - Medium 14"" - Crispy and Well Done",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Custom Philly Cheesesteak Stromboli - Large,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Extravaganza Supreme - Personal 10"" - Regular Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Fettuccini Alfredo (custom 1) - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Hawaiian - Medium 14"" -  Regular Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"MYOP 1 - Medium 14"" -  Regular Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Meat Lovers (custom 1) - Personal 10"" -  Garlic Butter on Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Meat Lovers (custom) - Personal 10"" -  Thin Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Penne Al A Vodka (custom 1) - Single Size,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,"Pepperoni Pizza (custom 1) - Medium 14"" -  Garlic Butter on Crust",$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Philly Cheesesteak Stromboli - Large,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Shrimp Scampi,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Tour of Italy,$16.98,$16.98,1,0," "," ",-,$0.00,$0.00,0.03%,$16.98,-,-
,Chicken Marsala (custom 1) - Single Size,$16.95,$16.95,1,0," "," ",-,$0.00,$0.00,0.03%,$16.95,-,-
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$16.95,$16.95,1,0," "," ",-,$0.00,$0.00,0.03%,$16.95,-,-
,Meat Lovers,$16.95,$16.95,1,0," "," ",-,$0.00,$0.00,0.03%,$16.95,-,-
,Veggie Lovers,$16.95,$16.95,1,0," "," ",-,$0.00,$0.00,0.03%,$16.95,-,-
,Veggie Lovers,$16.95,$16.95,1,0," "," ",-,$0.00,$0.00,0.03%,$16.95,-,-
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Chicken Tenders 1/2 lbs,$16.89,$16.89,1,0," "," ",-,$0.00,$0.00,0.03%,$16.89,-,-
,," "," "," "," ",Garlic Parmesan,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",All Flats,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",20 Pieces,1,$5.90," "," "," "," "," "," "
,Meat Lover's Stromboli  (custom 1) - Large,$16.89,$16.89,1,0," "," ",-,$0.00,$0.00,0.03%,$16.89,-,-
,Custom Calzone Cheese - Large,$16.73,$16.73,1,0," "," ",-,$0.00,$0.00,0.03%,$16.73,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$16.73,$16.73,1,0," "," ",-,$0.00,$0.00,0.03%,$16.73,-,-
,Lipton - Single Size,$16.50,$16.50,6,0," "," ",-,$0.00,$0.00,0.02%,$2.75,-,-
,"Custom Cheese Pizza - Small 12"" - Gluten Free",$16.49,$16.49,1,0," "," ",-,$0.00,$0.00,0.02%,$16.49,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$16.48,$16.48,1,0," "," ",-,$0.00,$0.00,0.02%,$16.48,-,-
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$16.46,$16.46,1,0," "," ",-,$0.00,$0.00,0.02%,$16.46,-,-
,BBQ Pizza,$16.44,$16.44,1,0," "," ",-,$0.00,$0.00,0.02%,$16.44,-,-
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Buffalo Chicken Pizza,$16.44,$16.44,1,0," "," ",-,$0.00,$0.00,0.02%,$16.44,-,-
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Margherita,$16.44,$16.44,1,0," "," ",-,$0.00,$0.00,0.02%,$16.44,-,-
,," "," "," "," ",Pesto Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$1.55," "," "," "," "," "," "
,Child Chicken Tenders Fries,$19.54,$16.26,2,0," "," ",-,-$3.28,$0.00,0.02%,$8.13,-,-
,Jumbo Sized Wings (10 Pieces),$16.08,$16.08,1,0," "," ",-,$0.00,$0.00,0.02%,$16.08,-,-
,," "," "," "," ",Medium,1,$0.09," "," "," "," "," "," "
,Jumbo Sized Wings (10 Pieces),$16.08,$16.08,1,0," "," ",-,$0.00,$0.00,0.02%,$16.08,-,-
,," "," "," "," ",Buffalo Garlic,1,$0.09," "," "," "," "," "," "
,Tiramissu,$16.02,$16.02,3,0," "," ",-,$0.00,$0.00,0.02%,$5.34,-,-
,"(H&H) Cheese Pizza-Pepperoni Pizza - Medium 14"" -  Garlic Butter on Crust",$15.99,$15.99,1,0," "," ",-,$0.00,$0.00,0.02%,$15.99,-,-
