Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:29 AM"
Filters: Item Type = Revenue Items

Items: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$428,973.00"
Net Sales,"$426,703.17"
COGS,"$14,420.34"
Gross Profit,"$403,932.21"
Gross Profit Margin,94.66%

Name,Gross Sales,Net Sales,Sold,Refunded,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
North High Tonic Strawberry 4pack,$899.64,$899.64,36,0,$0.00,$0.00,$0.00,0.21%,$24.99,$0.00,$899.64
The Macallan 12 Years Sherry Oak Cask 750ml,$881.91,$881.91,9,0,$0.00,$0.00,$0.00,0.21%,$97.99,$0.00,$881.91
ABSOLUT VODKA 1.75L,$879.78,$879.78,22,0,$0.00,$0.00,$0.00,0.21%,$39.99,$0.00,$879.78
CAPTAIN MORGAN SPICED RUM 750ML PLASTIC,$874.65,$874.65,35,0,$0.00,$0.00,$0.00,0.20%,$24.99,$0.00,$874.65
JACK DANIELS  WHISKEY  750mL,$869.71,$869.71,29,0,$0.00,$0.00,$0.00,0.20%,$29.99,$0.00,$869.71
3BOTTLE SALE AUSTIN HOPE CAB SAUV,$854.81,$854.81,19,0,$0.00,$0.00,$0.00,0.20%,$44.99,$0.00,$854.81
SMIRNOFF VODKA 1.75ML,$849.66,$849.66,34,0,$0.00,$0.00,$0.00,0.20%,$24.99,$0.00,$849.66
ICE 10 Lbs.,$841.09,$841.09,241,0,$0.00,$0.00,$0.00,0.20%,$3.49,$0.00,$841.09
Don Julio Tequila 1.75 L,$839.93,$839.93,7,0,$0.00,$0.00,$0.00,0.20%,$119.99,$0.00,$839.93
BACARDI SUPERIOR WHITE RUM 1.75L,$835.78,$835.78,22,0,$0.00,$0.00,$0.00,0.20%,$37.99,$0.00,$835.78
NEWTON CABERNET SAUVIGNON UNFILTERED WINE DOMESTIC 750ML,$799.84,$799.84,16,0,$0.00,$0.00,$0.00,0.19%,$49.99,$0.00,$799.84
BELLE GLOS LAS ALTURAS PINOT NOIR WINE-DOMESTIC .750L BELLE GLOS LAS ALTURAS PINOT NOIR WINE-DOMESTIC .750L,$794.79,$794.79,21,0,$0.00,$0.00,$0.00,0.19%,$37.85,$0.00,$794.79
BOARS HEAD CHARCUTERIE AND CHEESE 12OZ,$793.54,$791.84,46,0,-$1.70,$0.00,$0.00,0.19%,$17.21,$0.00,$791.84
LONG DRINK CITRUS 6PACK CANS,$791.56,$791.56,44,0,$0.00,$0.00,$0.00,0.19%,$17.99,$0.00,$791.56
FAR NIENTE CHARDONNAY 750ML,$779.87,$779.87,13,0,$0.00,$0.00,$0.00,0.18%,$59.99,$0.00,$779.87
BUFFALO CHICKEN PHILLY SUB DELI,$778.59,$778.59,41,0,$0.00,$0.00,$0.00,0.18%,$18.99,$0.00,$778.59
BACARDI SUPERIOR WHITE RUM 750ML GLASS,$774.69,$774.69,31,0,$0.00,$0.00,$0.00,0.18%,$24.99,$0.00,$774.69
DON JULIO REPOSADO LIQUOR-MISC .100L DON JULIO REPOSADO LIQUOR-MISC .100L,$769.89,$769.89,11,0,$0.00,$0.00,$0.00,0.18%,$69.99,$0.00,$769.89
WOODFORD DOUBLE OAKED WHISKEY 750ML  WOODFORD DOUBLE OAKED WHIS-BLEND .750L,$769.86,$769.86,14,0,$0.00,$0.00,$0.00,0.18%,$54.99,$0.00,$769.86
TITOS HANDMADE VODKA 50ML,$766.08,$766.08,192,0,$0.00,$0.00,$0.00,0.18%,$3.99,$0.00,$766.08
ORIN SWIFT  EIGHT YEARS IN DESERT RED WINE 750ML,$759.81,$759.81,19,0,$0.00,$0.00,$0.00,0.18%,$39.99,$0.00,$759.81
OLD CARBINE TEQUILA BLANCO 1L,$749.95,$749.95,5,0,$0.00,$0.00,$0.00,0.18%,$149.99,$0.00,$749.95
BACARDI SUPERIOR WHITE RUM 750ML PLASTIC,$724.71,$724.71,29,0,$0.00,$0.00,$0.00,0.17%,$24.99,$0.00,$724.71
MOZZARELLA SUB WITH PROSCIUTTO DELI,$721.62,$721.62,38,0,$0.00,$0.00,$0.00,0.17%,$18.99,$0.00,$721.62
COLONEL E.H. TAYLOR SMALL BATCH BOURBON  WHISKIES 750 m COLONEL E.H. TAYLOR SMALL BATCH BOURBON  WHISKIES 750 m,$719.98,$719.98,5,0,$0.00,$0.00,$0.00,0.17%,$144.00,$0.00,$719.98
CLASE AZUL TEQUILA 375ML,$719.94,$719.94,6,0,$0.00,$0.00,$0.00,0.17%,$119.99,$0.00,$719.94
BELLE GLOS PINOT NOIR CLARK & TELEPHONE 1.5L,$719.91,$719.91,9,0,$0.00,$0.00,$0.00,0.17%,$79.99,$0.00,$719.91
BUCHANANS DELUXE 12 YEARS  SCOTCH WHISKY 1.75L BUCHANANS DELUXE 1.75L BLENDED SCOTCH WHISKY WHIS-SCOTCH 1.75L,$719.91,$719.91,9,0,$0.00,$0.00,$0.00,0.17%,$79.99,$0.00,$719.91
FRANK FAMILY NAPA CABERNET SAUVIGNON 750ML FRANK FAMILY NAPA CAB SAUV WINE-MISC,$719.88,$719.88,12,0,$0.00,$0.00,$0.00,0.17%,$59.99,$0.00,$719.88
COCA COLA 20oz,$707.23,$705.43,197,0,-$1.80,$0.00,$0.00,0.17%,$3.58,$0.00,$705.43
TIGNANELLO ANTINORI WINE 750ML TIGNANELLO 2003 WINE-IMPORTED .100L,$699.96,$699.96,4,0,$0.00,$0.00,$0.00,0.16%,$174.99,$0.00,$699.96
WOODFORD RESERVE BOURBON WHISKEY 750ML,$699.86,$699.86,14,0,$0.00,$0.00,$0.00,0.16%,$49.99,$0.00,$699.86
KAHLUA  CORDIALS-IMPORTED .100L KAHLUA  CORDIALS-IMPORTED .100L,$689.77,$689.77,23,0,$0.00,$0.00,$0.00,0.16%,$29.99,$0.00,$689.77
Smirnoff Vodka 375ml,$683.24,$683.24,76,0,$0.00,$0.00,$0.00,0.16%,$8.99,$0.00,$683.24
Spinach Wrap,$683.62,$679.12,38,0,-$4.50,$0.00,$0.00,0.16%,$17.87,$0.00,$679.12
Lucky One Lemonade 8 Pack,$674.73,$674.73,27,0,$0.00,$0.00,$0.00,0.16%,$24.99,$0.00,$674.73
JOSH CABERNET SAUVIGNON 750ML,$665.63,$665.63,37,0,$0.00,$0.00,$0.00,0.16%,$17.99,$0.00,$665.63
BUD LIGHT 12 PACK CANS,$659.70,$659.70,30,0,$0.00,$0.00,$0.00,0.15%,$21.99,$0.00,$659.70
HIGH NOON BLACK CHERRY VODKA HARD SELTZER 4PK,$659.56,$659.56,44,0,$0.00,$0.00,$0.00,0.15%,$14.99,$0.00,$659.56
JACK DANIELS WHISKEY  1.75L,$649.87,$649.87,13,0,$0.00,$0.00,$0.00,0.15%,$49.99,$0.00,$649.87
Jose Cuervo Silver 750mL,$649.74,$649.74,26,0,$0.00,$0.00,$0.00,0.15%,$24.99,$0.00,$649.74
MALIBU PIÑA COLADA 4PACK,$629.65,$629.65,35,0,$0.00,$0.00,$0.00,0.15%,$17.99,$0.00,$629.65
Corona Extra  12 Pack Cans,$624.75,$624.75,25,0,$0.00,$0.00,$0.00,0.15%,$24.99,$0.00,$624.75
3BOTTLE SALE WHISPERING ANGEL ROSE,$615.72,$615.72,28,0,$0.00,$0.00,$0.00,0.14%,$21.99,$0.00,$615.72
HIGH NOON PINEAPPLE VODKA HARD SELTZER 4PK,$614.59,$614.59,41,0,$0.00,$0.00,$0.00,0.14%,$14.99,$0.00,$614.59
Don Julio Ultima Reserva Extra Añejo 750ml,$599.99,$599.99,1,0,$0.00,$0.00,$0.00,0.14%,$599.99,$0.00,$599.99
ANGELS ENVY BOURBON WHISKEY 750ML,$599.90,$599.90,10,0,$0.00,$0.00,$0.00,0.14%,$59.99,$0.00,$599.90
3BOTTLE SALE DUCKHORN CAB SAUV,$599.88,$599.88,12,0,$0.00,$0.00,$0.00,0.14%,$49.99,$0.00,$599.88
JAMESON TRIPLE DISTILLED WHISKEY 750mL,$599.85,$599.85,15,0,$0.00,$0.00,$0.00,0.14%,$39.99,$0.00,$599.85
BOLIVAR CIGAR,$599.70,$599.70,30,0,$0.00,$0.00,$0.00,0.14%,$19.99,$0.00,$599.70
High Noon Tequilla Fiesta Pack 12 Pack Cans,$593.78,$593.78,22,0,$0.00,$0.00,$0.00,0.14%,$26.99,$0.00,$593.78
Milagro Silver Tequila 750ml,$591.84,$591.84,16,0,$0.00,$0.00,$0.00,0.14%,$36.99,$0.00,$591.84
JOSE CUERVO TRADITIONAL TEQUILA PLATA 750ML,$579.71,$579.71,29,0,$0.00,$0.00,$0.00,0.14%,$19.99,$0.00,$579.71
OLLI SALUMERA Antipasto Plater,$577.68,$577.68,32,0,$0.00,$0.00,$0.00,0.14%,$18.05,$0.00,$577.68
Kahlúa Rum. & Coffee Liqueur 1 L,$575.88,$575.88,12,0,$0.00,$0.00,$0.00,0.13%,$47.99,$0.00,$575.88
CUTWATER LIME MARGARITA WITH TEQUILA 4PACK CANS,$575.68,$575.68,32,0,$0.00,$0.00,$0.00,0.13%,$17.99,$0.00,$575.68
Don Julio Blanco Tequila 375mL,$569.85,$569.85,15,0,$0.00,$0.00,$0.00,0.13%,$37.99,$0.00,$569.85
JOHNNIE WALKER BLACK LABEL SCOTCH WHISKY 1.75L,$559.92,$559.92,8,0,$0.00,$0.00,$0.00,0.13%,$69.99,$0.00,$559.92
Black Label 750mL 12 Years,$559.86,$559.86,14,0,$0.00,$0.00,$0.00,0.13%,$39.99,$0.00,$559.86
Crown Royal Apple Whisky 750mL,$559.86,$559.86,14,0,$0.00,$0.00,$0.00,0.13%,$39.99,$0.00,$559.86
ON THE ROCKS  THE BLUE HAWAIIAN COCKTAIL 375ml,$554.63,$554.63,37,0,$0.00,$0.00,$0.00,0.13%,$14.99,$259.00,$295.63
North High Tonics 4pack,$549.78,$549.78,22,0,$0.00,$0.00,$0.00,0.13%,$24.99,$0.00,$549.78
Jefferson's Ocean Aged At Sea 750ml,$539.94,$539.94,6,0,$0.00,$0.00,$0.00,0.13%,$89.99,$0.00,$539.94
MAKER'S MARK BOURBON WHIS-STRAIGHT 1.75L MAKER'S MARK BOURBON WHIS-STRAIGHT 1.75L,$539.91,$539.91,9,0,$0.00,$0.00,$0.00,0.13%,$59.99,$0.00,$539.91
APEROL APERITIVO 750ml,$539.82,$539.82,18,0,$0.00,$0.00,$0.00,0.13%,$29.99,$0.00,$539.82
